sample,cluster
CT_IIIS,0
CT_IIIS.1,0
CT_IIIS.2,0
CT_IIIS.3,0
D3_IVS,0
D3_IVS.1,0
D3_IVS.2,0
D3_IVS.3,0
P1_IVFS,0
P1_IVFS.1,0
P1_IVFS.2,0
P1_IVFS.3,0
P2_IVFS,0
P2_IVFS.1,0
P2_IVFS.2,0
P2_IVFS.3,0
P3_IVFS,0
P3_IVFS.1,0
P3_IVFS.2,0
P3_IVFS.3,0
P4_IVFS,0
P4_IVFS.1,0
P4_IVFS.2,0
P4_IVFS.3,0
P5_IIIFS,0
P5_IIIFS.1,0
P5_IIIFS.2,0
P5_IIIFS.3,0
P5_IVFS,0
P5_IVFS.1,0
P5_IVFS.2,0
P5_IVFS.3,0
PT_IIIFS,0
PT_IIIFS.1,0
PT_IIIFS.2,0
PT_IIIFS.3,0
PT_IVFS,0
PT_IVFS.1,0
PT_IVFS.2,0
PT_IVFS.3,0
C1.2_IIFS,1
C1.2_IIFSM,1
C1.2_IIS,1
C1.3_IIFS,1
C1.3_IIFSM,1
C1.3_IIS,1
C1.4_IIFSM,1
C1.4_IIS,1
C1_IIFS,1
C1_IIFSM,1
C2.2_IIFS,1
C2.2_IIFSM,1
C2.2_IIS,1
C2.2_IISM,1
C2.3_IIS,1
C2.3_IISM,1
C2.4_IIS,1
C2.4_IISM,1
C2_IIS.4,1
C2_IISM,1
C3.2_IIFS,1
C3.2_IIS,1
C3.2_IISM,1
C3.3_IIFSM,1
C3.3_IIS,1
C3.3_IISM,1
C3.4_IIS,1
C3.4_IISM,1
C3_IIFSM,1
C3_IIS.4,1
C3_IISM,1
C4.2_IIFS,1
C4.2_IIS,1
C4.2_IISM,1
C4.3_IIS,1
C4.3_IISM,1
C4.4_IIFS,1
C4.4_IIFSM,1
C4.4_IIS,1
C4.4_IISM,1
C4_IIS.4,1
C4_IISM,1
C5.2_IIFSM,1
C5.2_IIS,1
C5.2_IISM,1
C5.3_IIFSM,1
C5.3_IIS,1
C5.3_IISM,1
C5.3_IVFS,1
C5.4_IIS,1
C5.4_IISM,1
C5.4_IVFS,1
C5_IIFS,1
C5_IIFSM,1
C5_IIS.4,1
C5_IISM,1
CT.2_2FS,1
CT.2_2S,1
CT.3_2FSM,1
CT.3_2S,1
CT.4_2FSM,1
CT_2FSM,1
D1.2_IIFS,1
D1.2_IIFSM,1
D1.2_IIS,1
D1.2_IISM,1
D1.3_IIFS,1
D1.3_IIFSM,1
D1.3_IIS,1
D1.4_IIFS,1
D1.4_IIFSM,1
D1.4_IIS,1
D1.4_IISM,1
D1_IIFS,1
D1_IIFSM,1
D1_IIS,1
D1_IISM,1
D2.2_IIFS,1
D2.2_IIFSM,1
D2.2_IIS,1
D2.2_IISM,1
D2.3_IIFS,1
D2.3_IIFSM,1
D2.3_IIS,1
D2.3_IISM,1
D2.4_IIS,1
D2.4_IISM,1
D2_IIFS,1
D2_IIS,1
D3.2_IIFS,1
D3.2_IIFSM,1
D3.2_IIS,1
D3.2_IISM,1
D3.3_IIFS,1
D3.3_IIFSM,1
D3.3_IIS,1
D3.3_IISM,1
D3.4_IIFS,1
D3.4_IIFSM,1
D3.4_IIS,1
D3.4_IISM,1
D3_IIFS,1
D3_IIFSM,1
D3_IIS,1
D3_IISM,1
D4.2_IIS,1
D4.2_IISM,1
D4.3_IIFS,1
D4.3_IIFSM,1
D4.3_IIS,1
D4.3_IISM,1
D4.4_IIFS,1
D4.4_IIS,1
D4_IIS,1
D4_IISM,1
D5.2_IIFS,1
D5.2_IIFSM,1
D5.2_IIS,1
D5.2_IISM,1
D5.3_IIFS,1
D5.3_IIFSM,1
D5.3_IIS,1
D5.3_IISM,1
D5.4_IIFS,1
D5.4_IIFSM,1
D5.4_IIS,1
D5.4_IISM,1
D5_IIFS,1
D5_IIFSM,1
D5_IIS,1
DT.2_2FS,1
DT.2_2FSM,1
DT.3_2FSM,1
DT.4_2FSM,1
